image_id,width,height,bbox,source
Gao_ship_hh_0201608254401010020,256,256,"[221.0, 200.0, 31.0, 33.0]",ssdd
Gao_ship_hh_0201608254401010021,256,256,"[91.0, 200.0, 33.0, 33.0]",ssdd
Gao_ship_hh_0201608254401010037,256,256,"[134.0, 129.0, 30.0, 20.0]",ssdd
Gao_ship_hh_0201608254401010038,256,256,"[6.0, 129.0, 30.0, 20.0]",ssdd
Gao_ship_hh_0201608254401010039,256,256,"[131.0, 217.0, 26.0, 20.0]",ssdd
Gao_ship_hh_0201608254401010040,256,256,"[3.0, 217.0, 28.0, 20.0]",ssdd
Gao_ship_hh_0201608254401010042,256,256,"[209.0, 173.0, 21.0, 17.0]",ssdd
Gao_ship_hh_0201608254401010043,256,256,"[81.0, 175.0, 21.0, 15.0]",ssdd
Gao_ship_hh_0201608254401010053,256,256,"[202.0, 203.0, 14.0, 12.0]",ssdd
Gao_ship_hh_0201608254401010053,256,256,"[130.0, 44.0, 15.0, 29.0]",ssdd
Gao_ship_hh_0201608254401010060,256,256,"[114.0, 111.0, 36.0, 22.0]",ssdd
Gao_ship_hh_0201608254401010065,256,256,"[213.0, 21.0, 35.0, 19.0]",ssdd
Gao_ship_hh_0201608254401010066,256,256,"[84.0, 22.0, 37.0, 17.0]",ssdd
Gao_ship_hh_0201608254401010067,256,256,"[219.0, 212.0, 36.0, 14.0]",ssdd
Gao_ship_hh_0201608254401010068,256,256,"[92.0, 209.0, 38.0, 18.0]",ssdd
Gao_ship_hh_0201608254401010068,256,256,"[124.0, 3.0, 38.0, 19.0]",ssdd
Gao_ship_hh_0201608254401010069,256,256,"[155.0, 15.0, 30.0, 25.0]",ssdd
Gao_ship_hh_0201608254401010069,256,256,"[0.0, 4.0, 36.0, 19.0]",ssdd
Gao_ship_hh_0201608254401010070,256,256,"[26.0, 15.0, 31.0, 24.0]",ssdd
Gao_ship_hh_0201608254401010070,256,256,"[220.0, 98.0, 35.0, 27.0]",ssdd
Gao_ship_hh_0201608254401010071,256,256,"[92.0, 98.0, 41.0, 28.0]",ssdd
Gao_ship_hh_0201608254401010073,256,256,"[148.0, 192.0, 38.0, 25.0]",ssdd
Gao_ship_hh_0201608254401010074,256,256,"[19.0, 193.0, 39.0, 24.0]",ssdd
Gao_ship_hh_0201608254401010077,256,256,"[122.0, 202.0, 41.0, 28.0]",ssdd
Gao_ship_hh_0201608254401010078,256,256,"[0.0, 201.0, 31.0, 27.0]",ssdd
Gao_ship_hh_020160825440101068,256,256,"[125.0, 183.0, 15.0, 31.0]",ssdd
Gao_ship_hh_020160825440101070,256,256,"[135.0, 7.0, 19.0, 26.0]",ssdd
Gao_ship_hh_0201608254401011012,256,256,"[177.0, 139.0, 39.0, 70.0]",ssdd
Gao_ship_hh_0201608254401011013,256,256,"[48.0, 139.0, 42.0, 72.0]",ssdd
Gao_ship_hh_0201608254401011021,256,256,"[93.0, 75.0, 31.0, 29.0]",ssdd
Gao_ship_hh_0201608254401011037,256,256,"[135.0, 1.0, 29.0, 18.0]",ssdd
Gao_ship_hh_0201608254401011038,256,256,"[7.0, 2.0, 30.0, 18.0]",ssdd
Gao_ship_hh_0201608254401011039,256,256,"[131.0, 89.0, 26.0, 20.0]",ssdd
Gao_ship_hh_0201608254401011040,256,256,"[3.0, 89.0, 27.0, 20.0]",ssdd
Gao_ship_hh_0201608254401011052,256,256,"[223.0, 176.0, 18.0, 14.0]",ssdd
Gao_ship_hh_0201608254401011053,256,256,"[95.0, 177.0, 18.0, 14.0]",ssdd
Gao_ship_hh_0201608254401011058,256,256,"[196.0, 207.0, 35.0, 22.0]",ssdd
Gao_ship_hh_0201608254401011062,256,256,"[156.0, 146.0, 33.0, 21.0]",ssdd
Gao_ship_hh_0201608254401011063,256,256,"[28.0, 145.0, 33.0, 23.0]",ssdd
Gao_ship_hh_0201608254401011064,256,256,"[175.0, 196.0, 29.0, 19.0]",ssdd
Gao_ship_hh_0201608254401011065,256,256,"[47.0, 197.0, 29.0, 19.0]",ssdd
Gao_ship_hh_0201608254401011067,256,256,"[217.0, 84.0, 38.0, 15.0]",ssdd
Gao_ship_hh_0201608254401011068,256,256,"[93.0, 83.0, 37.0, 16.0]",ssdd
Gao_ship_hh_0201608254401011068,256,256,"[226.0, 118.0, 29.0, 21.0]",ssdd
